Date,Open,High,Low,Close,Volume,Adj Close
1972-08-15,422.750015,422.750015,419.000015,420.250015,680000,6.761788
1972-08-14,425.499992,426.749992,424.749985,424.749985,657600,6.834192
1972-08-11,423.499985,425.499992,422.249985,425.499992,744000,6.846259
1972-08-10,423.499985,425.00,421.25,423.499985,908800,6.814079
1972-08-09,418.250008,423.499985,417.999992,423.499985,681600,6.814079
1972-08-08,417.750015,419.000015,415.499992,418.250008,601600,6.729608
1972-08-07,415.999985,420.250015,415.250015,417.750015,1000000,6.721563
1972-08-04,415.250015,417.000008,412.50,415.999985,648000,6.693405
1972-08-03,409.000015,416.500015,407.999992,415.250015,1460800,6.681338
1972-08-02,410.00,411.500015,408.499985,409.000015,843200,6.559054
1972-08-01,402.000008,410.00,402.000008,410.00,1225600,6.575091
1972-07-31,398.250008,400.750008,398.250008,400.750008,428800,6.426751
1972-07-28,397.000008,399.749985,396.25,397.999992,388800,6.382649
1972-07-27,394.500008,397.999992,394.500008,397.000008,417600,6.366613
1972-07-26,397.999992,398.125,392.999992,394.500008,1080000,6.32652
1972-07-25,398.75,400.499992,397.999992,397.999992,672000,6.382649
1972-07-24,397.999992,400.999985,397.999992,398.75,760000,6.394677
1972-07-21,390.750008,396.500015,389.249992,396.500015,500800,6.358594
1972-07-20,390.00,391.500015,389.500008,390.750008,464000,6.266382
1972-07-19,390.00,394.000015,390.00,390.00,768000,6.254355
1972-07-18,387.999992,388.75,383.499985,388.499985,897600,6.230299
1972-07-17,393.250008,395.750008,387.50,387.999992,515200,6.222281
1972-07-14,391.749992,400.999985,391.500015,393.250008,739200,6.306474
1972-07-13,395.750008,397.000008,391.749992,391.749992,571200,6.282419
1972-07-12,397.000008,398.75,395.250015,395.750008,432000,6.346566
1972-07-11,399.000015,399.500008,396.500015,397.000008,305600,6.366613
1972-07-10,404.000015,404.000015,399.000015,399.000015,443200,6.398686
1972-07-07,403.75,405.499992,403.499985,404.000015,489600,6.47887
1972-07-06,402.999992,405.125008,402.999992,403.75,747200,6.474861
1972-07-05,396.500015,401.749992,396.500015,400.00,556800,6.414723
1972-07-03,392.999992,395.250015,392.999992,395.125008,208000,6.336543
1972-06-30,392.000008,394.249992,392.000008,392.000008,259200,6.286428
1972-06-29,390.625,392.000008,388.250008,391.500015,449600,6.27841
1972-06-28,392.249985,394.249992,390.625,390.625,380800,6.264378
1972-06-27,392.249985,395.00,390.499992,392.249985,332800,6.290437
1972-06-26,393.499985,393.499985,390.999985,392.249985,432000,6.290437
1972-06-23,395.750008,397.249985,394.749985,395.00,436800,6.334539
1972-06-22,395.999985,395.999985,392.000008,395.750008,456000,6.346566
1972-06-21,397.000008,400.750008,396.500015,397.50,483200,6.374631
1972-06-20,396.500015,397.999992,395.250015,397.000008,308800,6.366613
1972-06-19,398.75,398.75,395.499992,396.500015,196800,6.358594
1972-06-16,397.50,399.500008,395.999985,398.75,300800,6.394677
1972-06-15,399.749985,400.750008,396.25,397.50,529600,6.374631
1972-06-14,395.00,399.749985,395.00,399.749985,705600,6.410713
1972-06-13,387.750015,392.999992,387.000008,392.750015,484800,6.298456
1972-06-12,390.999985,393.250008,387.50,387.750015,449600,6.218272
1972-06-09,392.750015,394.625015,390.999985,390.999985,371200,6.270391
1972-06-08,395.250015,397.000008,392.750015,392.750015,460800,6.298456
1972-06-07,392.999992,395.499992,391.25,395.250015,433600,6.338548
1972-06-06,394.500008,396.500015,391.500015,392.999992,496000,6.302465
1972-06-05,397.50,397.50,394.249992,394.500008,356800,6.32652
1972-06-02,399.000015,400.999985,397.625008,398.499985,513600,6.390667
1972-06-01,399.000015,400.999985,399.000015,399.000015,476800,6.398686
1972-05-31,395.999985,399.000015,395.999985,397.750015,603200,6.37864
1972-05-30,403.250008,403.250008,394.500008,395.499992,505600,6.342557
1972-05-26,404.000015,405.999985,402.249985,404.000015,675200,6.47887
