
currentTclustCluster = c237 | nextThreshold = 20

currentTclustCluster = c285 | nextThreshold = 20

currentTclustCluster = c288 | nextThreshold = 20

currentTclustCluster = c163 | nextThreshold = 20

currentTclustCluster = c164 | nextThreshold = 20

currentTclustCluster = c124 | nextThreshold = 20

currentTclustCluster = c125 | nextThreshold = 20

currentTclustCluster = c277 | nextThreshold = 20

currentTclustCluster = c46 | nextThreshold = 20

currentTclustCluster = c290 | nextThreshold = 20

currentTclustCluster = c249 | nextThreshold = 20

currentTclustCluster = c232 | nextThreshold = 20

currentTclustCluster = c233 | nextThreshold = 20

currentTclustCluster = c186 | nextThreshold = 20

currentTclustCluster = c293 | nextThreshold = 20

currentTclustCluster = c260 | nextThreshold = 20

currentTclustCluster = c271 | nextThreshold = 20

currentTclustCluster = c272 | nextThreshold = 20

currentTclustCluster = c251 | nextThreshold = 20

currentTclustCluster = c56 | nextThreshold = 20

currentTclustCluster = c142 | nextThreshold = 20

currentTclustCluster = c279 | nextThreshold = 20

currentTclustCluster = c66 | nextThreshold = 20

currentTclustCluster = c68 | nextThreshold = 20

currentTclustCluster = c281 | nextThreshold = 20

currentTclustCluster = c254 | nextThreshold = 20

currentTclustCluster = c283 | nextThreshold = 20

currentTclustCluster = c177 | nextThreshold = 20

currentTclustCluster = c103 | nextThreshold = 20

